M = 50  (0/123 already done)
  test_r=0.7432  n_iter=768  wall=87.0s
  test_r=0.8082  n_iter=669  wall=75.6s
  test_r=0.8144  n_iter=584  wall=66.0s
  test_r=0.8122  n_iter=644  wall=70.8s
  test_r=0.9440  n_iter=1298  wall=136.8s
  test_r=0.9500  n_iter=1500  wall=157.0s
  test_r=0.9445  n_iter=1500  wall=157.3s
  test_r=0.9326  n_iter=732  wall=80.6s
  test_r=0.9290  n_iter=763  wall=83.7s
  test_r=0.9198  n_iter=884  wall=98.8s
  test_r=0.9124  n_iter=988  wall=110.2s
  test_r=0.9050  n_iter=1158  wall=128.9s
  test_r=0.9173  n_iter=1147  wall=125.7s
  test_r=0.8549  n_iter=1500  wall=168.8s
  test_r=0.8926  n_iter=1500  wall=164.8s
  test_r=0.8188  n_iter=1500  wall=167.1s
  test_r=0.6516  n_iter=737  wall=82.5s
  test_r=0.6672  n_iter=867  wall=95.8s
  test_r=0.6779  n_iter=769  wall=85.2s
  test_r=0.7832  n_iter=1122  wall=123.6s
  test_r=0.7894  n_iter=1476  wall=161.9s
  test_r=0.7754  n_iter=1257  wall=140.2s
  test_r=0.7961  n_iter=1074  wall=126.1s
  test_r=0.8009  n_iter=1285  wall=154.2s
  test_r=0.7847  n_iter=1428  wall=164.0s
  test_r=0.9682  n_iter=957  wall=101.2s
  test_r=0.9710  n_iter=958  wall=105.3s
  test_r=0.9728  n_iter=954  wall=102.3s
  test_r=0.7464  n_iter=753  wall=84.8s
  test_r=0.7560  n_iter=699  wall=79.1s
  test_r=0.7387  n_iter=765  wall=86.4s
  test_r=0.9595  n_iter=759  wall=85.0s
  test_r=0.9612  n_iter=740  wall=82.8s
  test_r=0.9659  n_iter=759  wall=86.3s
  test_r=0.8245  n_iter=527  wall=62.7s
  test_r=0.8046  n_iter=596  wall=71.0s
  test_r=0.8091  n_iter=579  wall=69.4s
  test_r=0.8338  n_iter=833  wall=98.6s
  test_r=0.8234  n_iter=744  wall=86.9s
  test_r=0.8158  n_iter=822  wall=90.0s
  test_r=0.8593  n_iter=566  wall=63.5s
  test_r=0.8528  n_iter=668  wall=75.8s
  test_r=0.8655  n_iter=558  wall=63.7s
  test_r=0.8328  n_iter=797  wall=89.3s
  test_r=0.8265  n_iter=901  wall=100.8s
  test_r=0.8819  n_iter=813  wall=91.1s
  test_r=0.7492  n_iter=735  wall=84.4s
  test_r=0.7135  n_iter=816  wall=92.5s
  test_r=0.7473  n_iter=698  wall=79.4s
  test_r=0.5374  n_iter=721  wall=81.8s
  test_r=0.7581  n_iter=894  wall=100.9s
  test_r=0.4130  n_iter=711  wall=84.6s
  test_r=0.8575  n_iter=788  wall=101.4s
  test_r=0.8713  n_iter=843  wall=104.8s
  test_r=0.8507  n_iter=751  wall=94.2s
M = 200  (0/123 already done)
  test_r=0.6275  n_iter=1231  wall=150.1s
  test_r=0.6529  n_iter=1279  wall=155.3s
  test_r=0.6285  n_iter=1114  wall=132.5s
  test_r=0.9841  n_iter=985  wall=110.5s
  test_r=0.9833  n_iter=875  wall=97.8s
  test_r=0.9862  n_iter=836  wall=99.6s
  test_r=0.9314  n_iter=1500  wall=191.3s
  test_r=0.9010  n_iter=1444  wall=178.1s
  test_r=0.9355  n_iter=1500  wall=186.0s
  test_r=0.8660  n_iter=537  wall=64.4s
  test_r=0.8615  n_iter=517  wall=62.0s
  test_r=0.8638  n_iter=587  wall=71.7s
  test_r=0.9122  n_iter=639  wall=82.0s
  test_r=0.8998  n_iter=686  wall=89.3s
  test_r=0.8850  n_iter=770  wall=97.6s
  test_r=0.6830  n_iter=534  wall=62.4s
  test_r=0.6705  n_iter=626  wall=73.0s
  test_r=0.7055  n_iter=559  wall=66.1s
  test_r=0.7855  n_iter=869  wall=101.9s
  test_r=0.7598  n_iter=866  wall=103.3s
  test_r=0.7545  n_iter=1204  wall=142.5s
  test_r=0.6845  n_iter=835  wall=98.7s
  test_r=0.6881  n_iter=1056  wall=124.3s
  test_r=0.6865  n_iter=863  wall=101.4s
  test_r=0.8738  n_iter=467  wall=57.1s
  test_r=0.8803  n_iter=418  wall=52.2s
  test_r=0.8795  n_iter=576  wall=73.0s
  test_r=0.9152  n_iter=1500  wall=173.7s
  test_r=0.9043  n_iter=1485  wall=170.4s
  test_r=0.9087  n_iter=1500  wall=174.7s
  test_r=0.9091  n_iter=772  wall=87.0s
  test_r=0.8973  n_iter=693  wall=79.7s
  test_r=0.8993  n_iter=723  wall=83.2s
  test_r=0.9649  n_iter=463  wall=54.9s
  test_r=0.9589  n_iter=399  wall=46.7s
  test_r=0.9627  n_iter=361  wall=43.9s
  test_r=0.9626  n_iter=902  wall=109.0s
  test_r=0.9599  n_iter=779  wall=94.4s
  test_r=0.9606  n_iter=798  wall=95.5s
  test_r=0.9437  n_iter=1154  wall=131.5s
  test_r=0.9472  n_iter=1033  wall=114.6s
  test_r=0.9428  n_iter=1129  wall=128.1s
  test_r=0.8876  n_iter=1004  wall=117.1s
  test_r=0.8977  n_iter=770  wall=89.2s
  test_r=0.9180  n_iter=1130  wall=130.2s
  test_r=0.7031  n_iter=779  wall=92.3s
  test_r=0.6365  n_iter=759  wall=90.2s
  test_r=0.6156  n_iter=644  wall=75.6s
  test_r=0.9519  n_iter=955  wall=106.1s
  test_r=0.9515  n_iter=1019  wall=112.5s
  test_r=0.9538  n_iter=923  wall=102.8s
  test_r=0.8827  n_iter=938  wall=107.4s
  test_r=0.8610  n_iter=1165  wall=132.5s
  test_r=0.8809  n_iter=1100  wall=124.8s
  test_r=0.9688  n_iter=1241  wall=140.9s
  test_r=0.9659  n_iter=1500  wall=163.6s
  test_r=0.9465  n_iter=1500  wall=162.3s
  test_r=0.7044  n_iter=755  wall=86.5s
  test_r=0.7152  n_iter=759  wall=86.5s
  test_r=0.7682  n_iter=1030  wall=116.0s
  test_r=0.8602  n_iter=536  wall=62.6s
  test_r=0.8538  n_iter=527  wall=62.2s
  test_r=0.8479  n_iter=520  wall=61.2s
  test_r=0.8265  n_iter=867  wall=96.4s
  test_r=0.8152  n_iter=897  wall=104.0s
  test_r=0.7772  n_iter=777  wall=88.7s
  test_r=0.7166  n_iter=683  wall=87.5s
  test_r=0.7788  n_iter=724  wall=89.5s
  test_r=0.7798  n_iter=858  wall=106.3s
  test_r=0.8211  n_iter=473  wall=57.2s
  test_r=0.8168  n_iter=593  wall=71.6s
  test_r=0.8155  n_iter=648  wall=77.7s
  test_r=0.9449  n_iter=1494  wall=169.3s
  test_r=0.9450  n_iter=1500  wall=170.5s
  test_r=0.9450  n_iter=1500  wall=171.0s
  test_r=0.9369  n_iter=741  wall=85.2s
  test_r=0.9363  n_iter=844  wall=97.9s
  test_r=0.9497  n_iter=1065  wall=122.8s
  test_r=0.9232  n_iter=1010  wall=107.5s
  test_r=0.9115  n_iter=1303  wall=142.4s
  test_r=0.9218  n_iter=1175  wall=127.7s
  test_r=0.8294  n_iter=1500  wall=168.7s
  test_r=0.8621  n_iter=1500  wall=167.4s
  test_r=0.7830  n_iter=1500  wall=173.2s
  test_r=0.6878  n_iter=699  wall=76.1s
  test_r=0.6859  n_iter=701  wall=76.4s
  test_r=0.6875  n_iter=810  wall=89.0s
  test_r=0.7852  n_iter=1176  wall=127.7s
  test_r=0.7984  n_iter=1363  wall=145.1s
  test_r=0.7921  n_iter=1274  wall=136.9s
  test_r=0.7953  n_iter=990  wall=116.0s
  test_r=0.7880  n_iter=1309  wall=161.2s
  test_r=0.7820  n_iter=1310  wall=157.6s
  test_r=0.9758  n_iter=985  wall=105.4s
  test_r=0.9796  n_iter=1056  wall=111.7s
  test_r=0.9765  n_iter=944  wall=100.6s
  test_r=0.7730  n_iter=873  wall=95.1s
  test_r=0.7771  n_iter=919  wall=101.5s
  test_r=0.7767  n_iter=1016  wall=112.0s
  test_r=0.9568  n_iter=903  wall=98.8s
  test_r=0.9582  n_iter=762  wall=82.7s
  test_r=0.9614  n_iter=841  wall=91.0s
  test_r=0.8528  n_iter=508  wall=61.2s
  test_r=0.8328  n_iter=687  wall=83.1s
  test_r=0.8425  n_iter=585  wall=69.8s
  test_r=0.8263  n_iter=766  wall=91.5s
  test_r=0.8449  n_iter=901  wall=104.1s
  test_r=0.8289  n_iter=741  wall=84.4s
  test_r=0.8546  n_iter=604  wall=69.4s
  test_r=0.8467  n_iter=733  wall=83.6s
  test_r=0.8567  n_iter=664  wall=75.9s
  test_r=0.8855  n_iter=780  wall=88.4s
  test_r=0.8840  n_iter=827  wall=92.8s
  test_r=0.8836  n_iter=726  wall=82.1s
  test_r=0.7856  n_iter=911  wall=109.0s
  test_r=0.7836  n_iter=848  wall=100.0s
  test_r=0.8099  n_iter=740  wall=89.1s
  test_r=0.5910  n_iter=805  wall=92.8s
  test_r=0.7158  n_iter=898  wall=103.9s
  test_r=0.5104  n_iter=727  wall=85.5s
  test_r=0.8486  n_iter=860  wall=117.9s
  test_r=0.8386  n_iter=845  wall=111.8s
  test_r=0.8412  n_iter=849  wall=110.8s
M = 250  (0/123 already done)
  test_r=0.6393  n_iter=1283  wall=156.9s
  test_r=0.6582  n_iter=1200  wall=146.1s
  test_r=0.6487  n_iter=1180  wall=141.5s
  test_r=0.9842  n_iter=955  wall=100.8s
  test_r=0.9849  n_iter=855  wall=92.5s
  test_r=0.9861  n_iter=816  wall=88.3s
  test_r=0.9276  n_iter=1500  wall=194.1s
  test_r=0.9169  n_iter=1398  wall=173.5s
  test_r=0.9308  n_iter=1500  wall=192.3s
  test_r=0.8707  n_iter=539  wall=64.3s
  test_r=0.8664  n_iter=522  wall=61.9s
  test_r=0.8640  n_iter=587  wall=69.6s
  test_r=0.9063  n_iter=792  wall=99.1s
  test_r=0.9034  n_iter=745  wall=96.9s
  test_r=0.9009  n_iter=729  wall=94.3s
  test_r=0.6735  n_iter=586  wall=67.5s
  test_r=0.6740  n_iter=640  wall=73.2s
  test_r=0.7022  n_iter=716  wall=80.6s
  test_r=0.7984  n_iter=832  wall=95.3s
  test_r=0.7808  n_iter=838  wall=98.2s
